,reqid,date,open,high,low,close,volume
441,4105,20201216  13:45:00,12.9,12.95,12.75,12.8,-1
442,4105,20201216  13:50:00,12.8,12.8,12.75,12.8,-1
443,4105,20201216  13:55:00,12.8,12.85,11.75,12.1,-1
444,4105,20201216  14:00:00,12.1,12.1,10.6,11.85,-1
445,4105,20201216  14:05:00,11.85,12.0,11.5,11.55,-1
446,4105,20201216  14:10:00,11.55,11.55,11.35,11.45,-1
447,4105,20201216  14:15:00,11.45,11.6,11.45,11.5,-1
448,4105,20201216  14:20:00,11.5,11.85,11.5,11.85,-1
449,4105,20201216  14:25:00,11.85,12.0,11.85,11.95,-1
450,4105,20201216  14:30:00,11.95,12.3,11.95,12.3,-1
451,4105,20201216  14:35:00,12.3,13.1,12.3,13.1,-1
452,4105,20201216  14:40:00,13.1,13.25,13.1,13.25,-1
453,4105,20201216  14:45:00,13.25,13.35,13.25,13.35,-1
454,4105,20201216  14:50:00,13.35,13.8,13.35,13.65,-1
455,4105,20201216  14:55:00,13.65,13.75,13.65,13.75,-1
456,4105,20201216  15:00:00,13.75,13.95,13.6,13.95,-1
457,4105,20201216  15:05:00,13.95,14.0,13.5,13.55,-1
458,4105,20201216  15:10:00,13.55,13.6,13.4,13.55,-1
459,4105,20201216  15:15:00,13.55,13.8,13.5,13.75,-1
460,4105,20201216  15:20:00,13.75,14.2,13.75,13.9,-1
461,4105,20201216  15:25:00,13.9,14.35,13.9,14.15,-1
462,4105,20201216  15:30:00,14.15,14.6,14.15,14.45,-1
463,4105,20201216  15:35:00,14.45,14.45,14.15,14.15,-1
464,4105,20201216  15:40:00,14.15,14.3,14.15,14.3,-1
465,4105,20201216  15:45:00,14.3,14.3,13.75,13.75,-1
466,4105,20201216  15:50:00,13.75,14.0,13.2,13.85,-1
467,4105,20201216  15:55:00,13.85,13.95,13.15,13.2,-1
